Demo/Experiment Projects in Repository
============================================================

Total: 50 projects

01_led_test/ (98 files: 2 HDL, 1 XDC, 1 XPR, 0 XCI, 2 TCL)
02_key_test/ (41 files: 1 HDL, 1 XDC, 1 XPR, 0 XCI, 1 TCL)
03_pll_test/ (158 files: 19 HDL, 5 XDC, 1 XPR, 1 XCI, 5 TCL)
04_uart_test/ (138 files: 8 HDL, 1 XDC, 1 XPR, 0 XCI, 7 TCL)
05_key_debounce/ (89 files: 5 HDL, 1 XDC, 1 XPR, 0 XCI, 4 TCL)
07_rom_test/ (143 files: 36 HDL, 7 XDC, 1 XPR, 5 XCI, 4 TCL)
08_ram_test/ (239 files: 56 HDL, 7 XDC, 1 XPR, 5 XCI, 6 TCL)
09_fifo_test/ (242 files: 60 HDL, 9 XDC, 1 XPR, 5 XCI, 6 TCL)
1.bmp/ (0 files: 0 HDL, 0 XDC, 0 XPR, 0 XCI, 0 TCL)
10_sd_test/ (199 files: 29 HDL, 5 XDC, 1 XPR, 1 XCI, 4 TCL)
11_1_hdmi_output_test/ (124 files: 25 HDL, 5 XDC, 1 XPR, 0 XCI, 5 TCL)
11_2_an430_lcd_test/ (157 files: 19 HDL, 6 XDC, 1 XPR, 1 XCI, 4 TCL)
11_3_an070_lcd_test/ (142 files: 20 HDL, 6 XDC, 1 XPR, 1 XCI, 4 TCL)
11_4_hdmi_loop/ (275 files: 68 HDL, 11 XDC, 1 XPR, 2 XCI, 15 TCL)
11_5hdmi_input_loopback_ddr/ (602 files: 230 HDL, 21 XDC, 1 XPR, 10 XCI, 11 TCL)
12_ddr3_test/ (172 files: 102 HDL, 3 XDC, 1 XPR, 1 XCI, 3 TCL)
13_audio_record_play/ (454 files: 182 HDL, 12 XDC, 1 XPR, 3 XCI, 10 TCL)
14_sd_card_audio/ (158 files: 42 HDL, 5 XDC, 1 XPR, 1 XCI, 4 TCL)
15_1_hdmi_char/ (248 files: 56 HDL, 8 XDC, 1 XPR, 4 XCI, 6 TCL)
15_2_lcd_an430_char/ (238 files: 42 HDL, 8 XDC, 1 XPR, 2 XCI, 6 TCL)
15_3_lcd_an070_char/ (232 files: 43 HDL, 8 XDC, 1 XPR, 2 XCI, 6 TCL)
16_1_sd_picture_hdmi/ (599 files: 239 HDL, 22 XDC, 1 XPR, 9 XCI, 13 TCL)
16_2_sd_picture_lcd_an430/ (595 files: 217 HDL, 23 XDC, 1 XPR, 5 XCI, 13 TCL)
16_3_sd_picture_lcd_an070/ (386 files: 176 HDL, 22 XDC, 1 XPR, 5 XCI, 10 TCL)
17_1_dual_ov5640_an5642_hdmi/ (414 files: 204 HDL, 21 XDC, 1 XPR, 9 XCI, 10 TCL)
17_2_ddr3_an5642_an430_lcd/ (647 files: 252 HDL, 21 XDC, 1 XPR, 9 XCI, 14 TCL)
17_3_ddr3_an5642_an070_lcd/ (601 files: 224 HDL, 21 XDC, 1 XPR, 5 XCI, 14 TCL)
18_ddr3_an5642_hdmi_sobel/ (610 files: 237 HDL, 21 XDC, 1 XPR, 5 XCI, 14 TCL)
19_ad9238_hdmi_test/ (319 files: 78 HDL, 13 XDC, 1 XPR, 6 XCI, 8 TCL)
2.bmp/ (0 files: 0 HDL, 0 XDC, 0 XPR, 0 XCI, 0 TCL)
20_ad7606_hdmi_test/ (311 files: 79 HDL, 13 XDC, 1 XPR, 6 XCI, 8 TCL)
21_an108_adda_hdmi_test/ (448 files: 98 HDL, 18 XDC, 1 XPR, 5 XCI, 10 TCL)
22_ad9767_dual_sin_wave/ (234 files: 38 HDL, 7 XDC, 1 XPR, 2 XCI, 6 TCL)
23_ad9767_dual_trig_wave/ (147 files: 18 HDL, 5 XDC, 1 XPR, 1 XCI, 4 TCL)
24_smg_interface_demo/ (70 files: 6 HDL, 1 XDC, 1 XPR, 0 XCI, 2 TCL)
25_temp_lm75_test/ (100 files: 9 HDL, 1 XDC, 1 XPR, 0 XCI, 2 TCL)
26_ethernet_test/ (1553 files: 291 HDL, 31 XDC, 1 XPR, 20 XCI, 17 TCL)
27_ad9238_ethernet/ (571 files: 244 HDL, 22 XDC, 1 XPR, 9 XCI, 12 TCL)
28_ad7606_ethernet/ (440 files: 213 HDL, 21 XDC, 1 XPR, 9 XCI, 10 TCL)
29_ad9280_ethernet/ (642 files: 258 HDL, 24 XDC, 1 XPR, 10 XCI, 14 TCL)
30_video_ethernet/ (371 files: 97 HDL, 17 XDC, 1 XPR, 6 XCI, 6 TCL)
31_USB_speed_test/ (624 files: 102 HDL, 18 XDC, 1 XPR, 9 XCI, 8 TCL)
6_i2c_eeprom_test/ (187 files: 31 HDL, 5 XDC, 1 XPR, 1 XCI, 4 TCL)
ax7xxx.bmp/ (0 files: 0 HDL, 0 XDC, 0 XPR, 0 XCI, 0 TCL)
car.bmp/ (0 files: 0 HDL, 0 XDC, 0 XPR, 0 XCI, 0 TCL)
demo_test/ (2 files: 0 HDL, 0 XDC, 0 XPR, 0 XCI, 0 TCL)
flower.bmp/ (0 files: 0 HDL, 0 XDC, 0 XPR, 0 XCI, 0 TCL)
video.bmp/ (0 files: 0 HDL, 0 XDC, 0 XPR, 0 XCI, 0 TCL)
上海滩.wav/ (0 files: 0 HDL, 0 XDC, 0 XPR, 0 XCI, 0 TCL)
大海.wav/ (0 files: 0 HDL, 0 XDC, 0 XPR, 0 XCI, 0 TCL)
