# HDL Top Module Index
# Top modules identified from XPR properties and project source context
# Generated: 2026-08-24T11:56:46Z

Project	TopModule	SourceFile	Evidence	Confidence
led_test	led_test	01_demo_document/demo/01_led_test/led_test.srcs/sources_1/new/led_test.v	XPR property (sources_1/TopModule)	HIGH
key_test	key_test	01_demo_document/demo/02_key_test/src/key_test.v	XPR property (sources_1/TopModule)	HIGH
pll_test	pll_test	01_demo_document/demo/03_pll_test/src/pll_test.v	XPR property (sources_1/TopModule)	HIGH
uart_test	uart_test	01_demo_document/demo/04_uart_test/src/uart_test.v	XPR property (sources_1/TopModule)	HIGH
key_test	key_debounce	01_demo_document/demo/05_key_debounce/src/key_debounce.v	XPR property (sources_1/TopModule)	HIGH
rom_test	rom_test	01_demo_document/demo/07_rom_test/rom_test.srcs/sources_1/new/rom_test.v	XPR property (sources_1/TopModule)	HIGH
ram_test	ram_test	01_demo_document/demo/08_ram_test/ram_test.srcs/sources_1/new/ram_test.v	XPR property (sources_1/TopModule)	HIGH
fifo_test	fifo_test	01_demo_document/demo/09_fifo_test/fifo_test.srcs/sources_1/new/fifo_test.v	XPR property (sources_1/TopModule)	HIGH
sd_test	sd_card_test	01_demo_document/demo/10_sd_test/src/sd_card_test.v	XPR property (sources_1/TopModule)	HIGH
HDMI_output_test	top	01_demo_document/demo/11_1_hdmi_output_test/HDMI_output_test.srcs/sources_1/imports/sources_1/top.v	XPR property (sources_1/TopModule)	HIGH
lcd_test	top	01_demo_document/demo/11_2_an430_lcd_test/lcd_test.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
lcd_test	top	01_demo_document/demo/11_3_an070_lcd_test/lcd_test.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
hdmi_loop	top	01_demo_document/demo/11_4_hdmi_loop/hdmi_loop.srcs/sources_1/new/top.v	XPR property (sources_1/TopModule)	HIGH
hdmi_input_loopback_ddr	top	01_demo_document/demo/11_5hdmi_input_loopback_ddr/hdmi_input_loopback_ddr.srcs/sources_1/imports/sources_1/top.v	XPR property (sources_1/TopModule)	HIGH
ddr3_ex	example_top	01_demo_document/demo/12_ddr3_test/imports/example_top.v	XPR property (sources_1/TopModule)	HIGH
audio_record_play	top	01_demo_document/demo/13_audio_record_play/audio_record_play.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
sd_card_audio	top	01_demo_document/demo/14_sd_card_audio/sd_card_audio.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
hdmi_char	top	01_demo_document/demo/15_1_hdmi_char/hdmi_char.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
lcd_char_an430	top	01_demo_document/demo/15_2_lcd_an430_char/lcd_char_an430.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
lcd_char_an070	top	01_demo_document/demo/15_3_lcd_an070_char/lcd_char_an070.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
sd_picture_hdmi	top	01_demo_document/demo/16_1_sd_picture_hdmi/sd_picture_hdmi.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
sd_picture_lcd	top	01_demo_document/demo/16_2_sd_picture_lcd_an430/sd_picture_lcd.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
sd_picture_lcd	top	01_demo_document/demo/16_3_sd_picture_lcd_an070/sd_picture_lcd.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
dual_ov5640_an5642_hdmi	top	01_demo_document/demo/17_1_dual_ov5640_an5642_hdmi/dual_ov5640_an5642_hdmi.srcs/sources_1/top.v	XPR property (sources_1/TopModule)	HIGH
ddr3_an5642_lcd	top	01_demo_document/demo/17_2_ddr3_an5642_an430_lcd/ddr3_an5642_lcd.srcs/sources_1/top.v	XPR property (sources_1/TopModule)	HIGH
ddr3_an5642_an070_lcd	top	01_demo_document/demo/17_3_ddr3_an5642_an070_lcd/ddr3_an5642_an070_lcd.srcs/sources_1/top.v	XPR property (sources_1/TopModule)	HIGH
ddr3_an5642_hdmi_sobel	top	01_demo_document/demo/18_ddr3_an5642_hdmi_sobel/ddr3_an5642_hdmi_sobel.srcs/sources_1/top.v	XPR property (sources_1/TopModule)	HIGH
ad9238_hdmi_test	top	01_demo_document/demo/19_ad9238_hdmi_test/ad9238_hdmi_test.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
ad7606_hdmi_test	top	01_demo_document/demo/20_ad7606_hdmi_test/ad7606_hdmi_test.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
an108_adda_lcd	top	01_demo_document/demo/21_an108_adda_hdmi_test/an108_adda_lcd.srcs/sources_1/src/top.v	XPR property (sources_1/TopModule)	HIGH
an9767_test	ad9767_test	01_demo_document/demo/22_ad9767_dual_sin_wave/ad9767_test.v	XPR property (sources_1/TopModule)	HIGH
an9767_test	ad9767_test	01_demo_document/demo/23_ad9767_dual_trig_wave/ad9767_test.v	XPR property (sources_1/TopModule)	HIGH
smg_interface_demo	smg_interface_demo	01_demo_document/demo/24_smg_interface_demo/smg_interface_demo.srcs/sources_1/new/smg_interface_demo.v	XPR property (sources_1/TopModule)	HIGH
temp_lm75_test	temp_test	01_demo_document/demo/25_temp_lm75_test/temp_lm75_test.srcs/sources_1/new/temp_test.v	XPR property (sources_1/TopModule)	HIGH
eth_test	ethernet_test	01_demo_document/demo/26_ethernet_test/eth_test.srcs/sources_1/imports/src/ethernet_test.v	XPR property (sources_1/TopModule)	HIGH
ad9238_ethernet	top	01_demo_document/demo/27_ad9238_ethernet/ad9238_ethernet.srcs/sources_1/top.v	XPR property (sources_1/TopModule)	HIGH
