# IP Core Index (.xci and .bd)
# Generated: 2026-08-24T11:56:46Z

Project	IPName	IPType	XCIPath	BDPath	Purpose	Evidence
03_pll_test	clk_wiz_0	XCI	01_demo_document/demo/03_pll_test/pll_test.srcs/sources_1/ip/clk_wiz_0/clk_wiz_0.xci		Clock generation (PLL/MMCM)	XCI componentRef: clk_wiz v6.0
07_rom_test	ila_0	XCI	01_demo_document/demo/07_rom_test/rom_test.srcs/sources_1/ip/ila_0/ila_0.xci		Integrated Logic Analyzer (debug)	XCI componentRef: ila v6.2
07_rom_test	rom_ip	XCI	01_demo_document/demo/07_rom_test/rom_test.srcs/sources_1/ip/rom_ip/rom_ip.xci		Block RAM / ROM	XCI componentRef: blk_mem_gen v8.4
08_ram_test	ila_0	XCI	01_demo_document/demo/08_ram_test/ram_test.srcs/sources_1/ip/ila_0/ila_0.xci		Integrated Logic Analyzer (debug)	XCI componentRef: ila v6.2
08_ram_test	ram_ip	XCI	01_demo_document/demo/08_ram_test/ram_test.srcs/sources_1/ip/ram_ip/ram_ip.xci		Block RAM / ROM	XCI componentRef: blk_mem_gen v8.4
09_fifo_test	fifo_ip	XCI	01_demo_document/demo/09_fifo_test/fifo_test.srcs/sources_1/ip/fifo_ip/fifo_ip.xci		FIFO buffering	XCI componentRef: fifo_generator v13.2
09_fifo_test	ila_m0	XCI	01_demo_document/demo/09_fifo_test/fifo_test.srcs/sources_1/ip/ila_m0/ila_m0.xci		Integrated Logic Analyzer (debug)	XCI componentRef: ila v6.2
10_sd_test	ila_0	XCI	01_demo_document/demo/10_sd_test/sd_test.srcs/sources_1/ip/ila_0/ila_0.xci		Integrated Logic Analyzer (debug)	XCI componentRef: ila v6.2
11_2_an430_lcd_test	video_pll	XCI	01_demo_document/demo/11_2_an430_lcd_test/lcd_test.srcs/sources_1/ip/video_pll/video_pll.xci		Clock generation (PLL/MMCM)	XCI componentRef: clk_wiz v6.0
11_3_an070_lcd_test	video_pll	XCI	01_demo_document/demo/11_3_an070_lcd_test/lcd_test.srcs/sources_1/ip/video_pll/video_pll.xci		Clock generation (PLL/MMCM)	XCI componentRef: clk_wiz v6.0
11_4_hdmi_loop	clk_ref	XCI	01_demo_document/demo/11_4_hdmi_loop/hdmi_loop.srcs/sources_1/ip/clk_ref/clk_ref.xci		Clock generation (PLL/MMCM)	XCI componentRef: clk_wiz v6.0
11_5hdmi_input_loopback_ddr	afifo_32i_64o_4096	XCI	01_demo_document/demo/11_5hdmi_input_loopback_ddr/hdmi_input_loopback_ddr.srcs/sources_1/ip/afifo_32i_64o_4096/afifo_32i_64o_4096.xci		FIFO buffering	XCI componentRef: fifo_generator v13.2
11_5hdmi_input_loopback_ddr	afifo_64i_32o_2048	XCI	01_demo_document/demo/11_5hdmi_input_loopback_ddr/hdmi_input_loopback_ddr.srcs/sources_1/ip/afifo_64i_32o_2048/afifo_64i_32o_2048.xci		FIFO buffering	XCI componentRef: fifo_generator v13.2
11_5hdmi_input_loopback_ddr	axi_interconnect	XCI	01_demo_document/demo/11_5hdmi_input_loopback_ddr/hdmi_input_loopback_ddr.srcs/sources_1/ip/axi_interconnect/axi_interconnect.xci		AXI interface IP	XCI componentRef: axi_interconnect v1.7
11_5hdmi_input_loopback_ddr	ddr3	XCI	01_demo_document/demo/11_5hdmi_input_loopback_ddr/hdmi_input_loopback_ddr.srcs/sources_1/ip/ddr3/ddr3.xci		DDR3 memory controller	XCI componentRef: mig_7series v4.2
11_5hdmi_input_loopback_ddr	sys_pll	XCI	01_demo_document/demo/11_5hdmi_input_loopback_ddr/hdmi_input_loopback_ddr.srcs/sources_1/ip/sys_pll/sys_pll.xci		Clock generation (PLL/MMCM)	XCI componentRef: clk_wiz v6.0
12_ddr3_test	ddr3	XCI	01_demo_document/demo/12_ddr3_test/ddr3_ex.srcs/sources_1/ip/ddr3/ddr3.xci		DDR3 memory controller	XCI componentRef: mig_7series v4.2
13_audio_record_play	afifo_64_256	XCI	01_demo_document/demo/13_audio_record_play/audio_record_play.srcs/sources_1/ip/afifo_64_256/afifo_64_256.xci		FIFO buffering	XCI componentRef: fifo_generator v13.2
13_audio_record_play	clk_200M	XCI	01_demo_document/demo/13_audio_record_play/audio_record_play.srcs/sources_1/ip/clk_200M/clk_200M.xci		Clock generation (PLL/MMCM)	XCI componentRef: clk_wiz v6.0
13_audio_record_play	ddr3	XCI	01_demo_document/demo/13_audio_record_play/audio_record_play.srcs/sources_1/ip/ddr3/ddr3.xci		DDR3 memory controller	XCI componentRef: mig_7series v4.2
14_sd_card_audio	afifo_8i_32o_1024	XCI	01_demo_document/demo/14_sd_card_audio/sd_card_audio.srcs/sources_1/ip/afifo_8i_32o_1024/afifo_8i_32o_1024.xci		FIFO buffering	XCI componentRef: fifo_generator v13.2
15_1_hdmi_char	osd_rom	XCI	01_demo_document/demo/15_1_hdmi_char/hdmi_char.srcs/sources_1/ip/osd_rom/osd_rom.xci		Block RAM / ROM	XCI componentRef: blk_mem_gen v8.4
