Path	Directory	FileName	Extension	SizeBytes	Category	Project	Importance
.gitattributes		.gitattributes	.gitattributes	110	Config	(root)	Normal
.gitignore		.gitignore	.gitignore	802	Config	(root)	Normal
01_demo_document/AX7035开发板教程与程序对应关系说明.pdf	01_demo_document	AX7035开发板教程与程序对应关系说明.pdf	.pdf	310696	PDF Document	(root)	Normal
01_demo_document/demo/01_led_test/led_test.srcs/constrs_1/new/led.xdc	01_demo_document/demo/01_led_test/led_test.srcs/constrs_1/new	led.xdc	.xdc	1231	Constraint	01_led_test	High
01_demo_document/demo/01_led_test/led_test.srcs/sim_1/new/vtf_led_test.v	01_demo_document/demo/01_led_test/led_test.srcs/sim_1/new	vtf_led_test.v	.v	716	HDL Source	01_led_test	High
01_demo_document/demo/01_led_test/led_test.srcs/sources_1/new/led_test.v	01_demo_document/demo/01_led_test/led_test.srcs/sources_1/new	led_test.v	.v	2373	HDL Source	01_led_test	High
01_demo_document/demo/01_led_test/led_test.xpr	01_demo_document/demo/01_led_test	led_test.xpr	.xpr	10865	Vivado Project	01_led_test	Critical
01_demo_document/demo/02_key_test/constrs_1/new/key.xdc	01_demo_document/demo/02_key_test/constrs_1/new	key.xdc	.xdc	1700	Constraint	02_key_test	High
01_demo_document/demo/02_key_test/key_test.xpr	01_demo_document/demo/02_key_test	key_test.xpr	.xpr	10413	Vivado Project	02_key_test	Critical
01_demo_document/demo/02_key_test/src/key_test.v	01_demo_document/demo/02_key_test/src	key_test.v	.v	3341	HDL Source	02_key_test	High
01_demo_document/demo/03_pll_test/constrs_1/new/pll.xdc	01_demo_document/demo/03_pll_test/constrs_1/new	pll.xdc	.xdc	860	Constraint	03_pll_test	High
01_demo_document/demo/03_pll_test/pll_test.srcs/sim_1/new/vtf_pll_test.v	01_demo_document/demo/03_pll_test/pll_test.srcs/sim_1/new	vtf_pll_test.v	.v	723	HDL Source	03_pll_test	High
01_demo_document/demo/03_pll_test/pll_test.srcs/sources_1/ip/clk_wiz_0/clk_wiz_0.v	01_demo_document/demo/03_pll_test/pll_test.srcs/sources_1/ip/clk_wiz_0	clk_wiz_0.v	.v	4320	HDL Source	03_pll_test	High
